投資組合截至,"2014/10/31"
 
股票代號,成分股名稱,比重(%),上市交易所代號,SEDOL,市場價格,市值,股份數目,行業,
"600177","雅戈爾","0.23","XSHG","6131012","10.54","642,600","60,988","非必需消費品","-"
"601117","中國化學","0.23","XSHG","B58R0Z2","8.32","641,984","77,202","工業","-"
"000963","華東醫藥","0.23","XSHE","6203245","75.19","638,774","8,495","基本消費品","-"
"000793","華聞傳媒","0.23","XSHE","6016960","15.17","637,582","42,036","非必需消費品","-"
"601168","西部礦業","0.23","XSHG","B1Z6XM2","8.52","635,348","74,593","原材料","-"
"601991","大唐發電","0.23","XSHG","B1JPCH3","5.36","629,163","117,318","公用事業","-"
"601618","中國中冶","0.23","XSHG","B4KPYX3","3.29","627,817","190,626","工業","-"
"600252","中恆集團","0.23","XSHG","6295963","18.32","625,812","34,156","醫療保健","-"
"601555","東吳證券","0.23","XSHG","B7D5Y75","15.22","625,810","41,123","金融","-"
"000629","攀鋼鋼釩","0.22","XSHE","6674669","3.71","623,431","168,047","原材料","-"
"002065","東華軟件","0.22","XSHE","B18TH93","22.89","621,786","27,164","資訊科技","-"
"002456","歐菲光","0.22","XSHE","B3XCR35","27.10","619,288","22,848","資訊科技","-"
"600489","中金黃金","0.22","XSHG","6676825","10.68","614,738","57,585","原材料","-"
"601018","寧波港","0.22","XSHG","B3QMQ68","4.43","608,800","137,454","工業","-"
"601633","長城汽車","0.22","XSHG","B3WXMX4","38.65","607,125","15,708","非必需消費品","-"
"600085","同仁堂","0.22","XSHG","6003542","23.63","606,014","25,641","醫療保健","-"
"601933","永輝超市","0.22","XSHG","B3V4ND5","10.12","604,868","59,769","基本消費品","-"
"000400","許繼電氣","0.22","XSHE","6007685","26.01","600,447","23,088","工業","-"
"600108","亞盛集團","0.22","XSHG","6019389","9.84","599,821","60,942","基本消費品","-"
"603000","人民網","0.22","XSHG","B7GX3Z7","56.78","598,953","10,548","-","-"
"002142","寧波銀行","0.22","XSHE","B232Y04","14.50","597,217","41,191","金融","-"
"600718","東軟集團","0.22","XSHG","6802471","17.75","597,007","33,626","資訊科技","-"
"600316","洪都航空","0.21","XSHG","6304375","35.29","594,459","16,843","工業","-"
"601800","中國交建","0.21","XSHG","B6Y7DS7","6.41","589,299","91,931","工業","-"
"000792","鹽湖鉀肥","0.21","XSHE","6110107","23.61","587,684","24,892","原材料","-"
"600079","人福醫藥","0.21","XSHG","6000190","35.21","582,832","16,555","醫療保健","-"
"000826","桑德環境","0.21","XSHE","6101725","29.53","582,458","19,726","工業","-"
